Age,Gender,Department,JobRole,MonthlyIncome,OverTime,YearsAtCompany,MaritalStatus,Attrition,AttritionRiskScore,RiskCategory
32,Male,Sales,Sales Executive,5484,No,13,Married,No,48.5,MEDIUM RISK
38,Female,Research & Development,Research Director,12061,No,10,Married,No,51.5,MEDIUM RISK
58,Male,Research & Development,Healthcare Representative,5660,Yes,5,Divorced,No,51.0,MEDIUM RISK
31,Male,Research & Development,Research Scientist,4821,Yes,5,Married,No,46.0,MEDIUM RISK
31,Male,Human Resources,Human Resources,6410,No,2,Married,No,59.0,MEDIUM RISK
45,Male,Research & Development,Laboratory Technician,5210,No,24,Divorced,No,56.0,MEDIUM RISK
31,Male,Research & Development,Research Scientist,2695,Yes,2,Divorced,No,46.5,MEDIUM RISK
33,Female,Research & Development,Manager,11878,No,10,Married,No,51.0,MEDIUM RISK
39,Male,Research & Development,Manager,17068,Yes,21,Married,No,56.5,MEDIUM RISK
43,Female,Research & Development,Laboratory Technician,2455,No,8,Single,No,52.0,MEDIUM RISK
49,Female,Research & Development,Healthcare Representative,13964,Yes,7,Single,No,52.0,MEDIUM RISK
52,Male,Research & Development,Research Scientist,4941,No,8,Married,Yes,54.0,MEDIUM RISK
27,Female,Research & Development,Research Scientist,2478,Yes,4,Single,No,51.0,MEDIUM RISK
32,Female,Sales,Sales Executive,5228,Yes,13,Married,No,52.0,MEDIUM RISK
27,Male,Sales,Sales Executive,4478,Yes,5,Single,No,49.0,MEDIUM RISK
31,Male,Sales,Sales Executive,7547,No,7,Divorced,No,48.0,MEDIUM RISK
32,Female,Research & Development,Research Scientist,5055,No,7,Single,No,53.5,MEDIUM RISK
28,Male,Research & Development,Research Scientist,3464,Yes,3,Married,Yes,52.5,MEDIUM RISK
30,Female,Research & Development,Research Scientist,5775,No,10,Married,No,50.0,MEDIUM RISK
31,Female,Research & Development,Manufacturing Director,8943,No,10,Married,No,51.5,MEDIUM RISK
39,Male,Research & Development,Manager,19272,No,21,Married,No,49.5,MEDIUM RISK
39,Female,Sales,Sales Executive,5238,Yes,1,Married,Yes,51.5,MEDIUM RISK
33,Male,Sales,Sales Executive,4682,No,7,Single,No,50.0,MEDIUM RISK
47,Male,Research & Development,Research Director,18300,No,3,Married,No,49.0,MEDIUM RISK
43,Female,Research & Development,Laboratory Technician,5257,No,9,Divorced,No,50.5,MEDIUM RISK
27,Male,Sales,Sales Executive,6349,Yes,5,Married,No,50.0,MEDIUM RISK
54,Female,Research & Development,Research Scientist,4869,No,4,Single,No,49.0,MEDIUM RISK
43,Female,Research & Development,Healthcare Representative,9985,No,1,Married,No,60.5,HIGH RISK
45,Male,Research & Development,Research Scientist,3697,No,10,Married,No,49.0,MEDIUM RISK
40,Male,Sales,Sales Executive,7457,Yes,4,Married,No,48.5,MEDIUM RISK
29,Male,Research & Development,Laboratory Technician,2119,Yes,7,Married,Yes,55.5,MEDIUM RISK
29,Male,Research & Development,Laboratory Technician,3983,No,3,Single,No,49.5,MEDIUM RISK
30,Female,Sales,Sales Executive,6118,No,10,Divorced,No,50.0,MEDIUM RISK
27,Female,Sales,Sales Executive,6214,No,8,Married,No,49.5,MEDIUM RISK
37,Male,Research & Development,Manufacturing Director,6347,No,6,Divorced,No,47.5,MEDIUM RISK
38,Male,Research & Development,Research Director,11510,Yes,11,Divorced,No,47.5,MEDIUM RISK
31,Female,Research & Development,Manufacturing Director,7143,Yes,11,Single,No,52.5,MEDIUM RISK
29,Female,Sales,Sales Executive,8268,Yes,7,Divorced,No,49.5,MEDIUM RISK
35,Male,Research & Development,Manufacturing Director,8095,No,16,Single,No,47.5,MEDIUM RISK
23,Male,Research & Development,Research Scientist,2904,No,4,Divorced,No,46.0,MEDIUM RISK
41,Male,Research & Development,Manufacturing Director,6032,Yes,5,Single,No,51.5,MEDIUM RISK
47,Male,Sales,Sales Representative,2976,No,0,Single,No,52.0,MEDIUM RISK
42,Female,Research & Development,Research Director,15992,No,1,Single,No,51.5,MEDIUM RISK
29,Male,Sales,Sales Executive,4649,No,4,Married,No,46.5,MEDIUM RISK
42,Male,Human Resources,Human Resources,2696,Yes,3,Divorced,No,48.0,MEDIUM RISK
32,Female,Research & Development,Laboratory Technician,2370,No,8,Married,No,50.0,MEDIUM RISK
48,Female,Sales,Manager,12504,No,0,Married,No,52.0,MEDIUM RISK
37,Male,Research & Development,Research Scientist,5974,Yes,7,Divorced,No,54.0,MEDIUM RISK
30,Female,Sales,Sales Executive,4736,Yes,2,Married,No,51.0,MEDIUM RISK
26,Male,Sales,Sales Executive,5296,No,8,Married,No,49.0,MEDIUM RISK
42,Male,Research & Development,Healthcare Representative,6781,No,1,Single,No,49.5,MEDIUM RISK
21,Female,Sales,Sales Representative,2174,Yes,3,Single,Yes,51.0,MEDIUM RISK
36,Female,Sales,Sales Executive,6653,No,1,Single,No,51.5,MEDIUM RISK
36,Male,Sales,Sales Executive,9699,No,13,Married,No,50.0,MEDIUM RISK
57,Male,Research & Development,Healthcare Representative,6755,No,3,Married,No,53.0,MEDIUM RISK
40,Female,Research & Development,Laboratory Technician,2213,Yes,7,Married,No,51.5,MEDIUM RISK
21,Male,Sales,Sales Representative,2610,No,3,Single,No,49.5,MEDIUM RISK
33,Female,Sales,Sales Representative,2851,Yes,1,Single,Yes,51.0,MEDIUM RISK
37,Female,Research & Development,Laboratory Technician,3452,No,5,Married,No,56.0,MEDIUM RISK
46,Female,Research & Development,Manufacturing Director,5258,No,1,Married,No,51.0,MEDIUM RISK
41,Male,Sales,Sales Executive,9355,No,8,Single,Yes,50.5,MEDIUM RISK
50,Male,Research & Development,Healthcare Representative,10496,No,4,Single,No,51.0,MEDIUM RISK
40,Male,Sales,Sales Executive,6380,Yes,6,Married,Yes,49.0,MEDIUM RISK
31,Male,Research & Development,Research Scientist,2657,Yes,2,Single,No,47.5,MEDIUM RISK
21,Female,Sales,Sales Representative,2716,No,1,Single,Yes,53.0,MEDIUM RISK
29,Male,Research & Development,Research Scientist,2201,No,3,Single,No,52.0,MEDIUM RISK
35,Male,Research & Development,Healthcare Representative,6540,No,1,Single,No,51.0,MEDIUM RISK
27,Male,Research & Development,Laboratory Technician,3816,No,5,Divorced,No,48.5,MEDIUM RISK
28,Male,Sales,Sales Executive,5253,No,7,Single,No,49.0,MEDIUM RISK
49,Male,Research & Development,Healthcare Representative,10965,No,5,Single,No,50.5,MEDIUM RISK
51,Female,Sales,Sales Executive,4936,No,7,Married,No,50.0,MEDIUM RISK
36,Female,Research & Development,Research Scientist,2543,No,2,Married,No,51.0,MEDIUM RISK
34,Male,Sales,Sales Executive,5304,Yes,5,Single,Yes,49.5,MEDIUM RISK
55,Female,Research & Development,Manager,16659,Yes,5,Single,No,53.0,MEDIUM RISK
24,Female,Sales,Sales Executive,4260,Yes,5,Divorced,No,49.5,MEDIUM RISK
30,Male,Sales,Sales Representative,2476,No,1,Married,No,50.5,MEDIUM RISK
26,Male,Research & Development,Research Scientist,3102,No,6,Single,Yes,57.0,MEDIUM RISK
22,Female,Research & Development,Research Scientist,2244,No,2,Married,No,53.5,MEDIUM RISK
36,Male,Sales,Sales Executive,7596,No,10,Married,No,47.5,MEDIUM RISK
30,Male,Research & Development,Research Scientist,2285,Yes,1,Single,Yes,51.5,MEDIUM RISK
37,Female,Research & Development,Laboratory Technician,3034,No,18,Divorced,No,58.0,MEDIUM RISK
40,Female,Sales,Sales Executive,5715,No,5,Divorced,No,49.5,MEDIUM RISK
42,Female,Research & Development,Laboratory Technician,2576,No,5,Divorced,No,56.5,MEDIUM RISK
37,Male,Research & Development,Manufacturing Director,4197,Yes,1,Single,No,50.0,MEDIUM RISK
43,Male,Research & Development,Research Director,14336,No,25,Divorced,No,48.0,MEDIUM RISK
40,Female,Research & Development,Laboratory Technician,3448,No,1,Married,No,50.5,MEDIUM RISK
54,Male,Research & Development,Research Director,19406,No,4,Married,No,51.0,MEDIUM RISK
34,Female,Sales,Sales Executive,6538,No,3,Married,No,50.0,MEDIUM RISK
31,Female,Research & Development,Manufacturing Director,4306,No,13,Married,No,57.0,MEDIUM RISK
43,Male,Research & Development,Laboratory Technician,2258,No,3,Married,No,50.5,MEDIUM RISK
43,Female,Research & Development,Healthcare Representative,4522,Yes,5,Divorced,No,50.0,MEDIUM RISK
25,Female,Sales,Sales Executive,4487,Yes,5,Single,No,51.0,MEDIUM RISK
37,Female,Research & Development,Research Scientist,4449,Yes,13,Married,No,50.0,MEDIUM RISK
31,Male,Research & Development,Laboratory Technician,2218,No,4,Married,No,54.5,MEDIUM RISK
39,Male,Research & Development,Manager,19197,Yes,21,Divorced,No,49.5,MEDIUM RISK
56,Female,Sales,Sales Executive,13212,No,7,Married,No,58.5,MEDIUM RISK
30,Female,Sales,Sales Executive,6577,No,5,Single,No,49.5,MEDIUM RISK
41,Male,Sales,Sales Executive,8392,No,10,Married,No,55.5,MEDIUM RISK
28,Male,Research & Development,Laboratory Technician,4558,No,10,Divorced,No,57.5,MEDIUM RISK
25,Male,Research & Development,Laboratory Technician,4031,No,2,Married,Yes,54.0,MEDIUM RISK
52,Male,Research & Development,Manufacturing Director,7969,Yes,5,Married,No,50.0,MEDIUM RISK
45,Male,Research & Development,Research Scientist,2654,No,2,Married,No,48.0,MEDIUM RISK
52,Female,Research & Development,Manager,16555,No,5,Married,No,53.0,MEDIUM RISK
42,Female,Research & Development,Research Scientist,4556,No,5,Divorced,No,50.0,MEDIUM RISK
30,Female,Research & Development,Manufacturing Director,6091,No,5,Single,No,50.5,MEDIUM RISK
60,Female,Research & Development,Manager,19566,No,29,Married,No,56.0,MEDIUM RISK
46,Female,Research & Development,Manufacturing Director,4810,No,10,Divorced,No,50.0,MEDIUM RISK
42,Female,Research & Development,Healthcare Representative,4523,No,6,Married,No,47.5,MEDIUM RISK
24,Female,Sales,Sales Representative,3202,Yes,5,Single,Yes,52.0,MEDIUM RISK
34,Female,Sales,Sales Representative,2351,No,2,Divorced,Yes,49.0,MEDIUM RISK
38,Male,Research & Development,Laboratory Technician,1702,Yes,1,Married,No,50.0,MEDIUM RISK
40,Female,Sales,Manager,18041,No,20,Married,No,50.0,MEDIUM RISK
26,Female,Research & Development,Research Scientist,2886,No,3,Divorced,No,48.0,MEDIUM RISK
30,Male,Research & Development,Laboratory Technician,2097,No,5,Married,No,49.0,MEDIUM RISK
29,Male,Research & Development,Research Director,11935,No,10,Married,No,49.0,MEDIUM RISK
29,Female,Research & Development,Research Scientist,2546,No,2,Married,Yes,53.5,MEDIUM RISK
19,Male,Human Resources,Human Resources,2564,No,1,Single,Yes,50.0,MEDIUM RISK
30,Female,Sales,Sales Executive,8412,No,9,Married,No,54.5,MEDIUM RISK
57,Male,Sales,Manager,14118,No,1,Divorced,No,49.0,MEDIUM RISK
50,Male,Research & Development,Manager,17046,No,27,Married,No,47.5,MEDIUM RISK
30,Female,Research & Development,Laboratory Technician,2564,No,11,Single,No,50.0,MEDIUM RISK
60,Female,Sales,Sales Executive,10266,No,18,Married,No,56.5,MEDIUM RISK
47,Female,Research & Development,Manufacturing Director,5070,No,5,Divorced,No,49.5,MEDIUM RISK
46,Male,Research & Development,Research Director,17861,No,3,Married,No,50.0,MEDIUM RISK
35,Male,Research & Development,Laboratory Technician,4230,No,5,Single,No,50.0,MEDIUM RISK
54,Female,Research & Development,Laboratory Technician,3780,No,1,Single,No,50.5,MEDIUM RISK
34,Male,Research & Development,Research Scientist,2768,No,7,Divorced,No,49.5,MEDIUM RISK
46,Female,Sales,Sales Executive,9071,Yes,3,Married,No,51.5,MEDIUM RISK
31,Male,Research & Development,Manufacturing Director,10648,No,13,Divorced,No,47.5,MEDIUM RISK
33,Male,Research & Development,Manager,13610,Yes,7,Married,Yes,52.5,MEDIUM RISK
33,Male,Research & Development,Laboratory Technician,3408,No,4,Divorced,Yes,50.0,MEDIUM RISK
30,Male,Sales,Sales Representative,2983,No,3,Single,No,51.5,MEDIUM RISK
35,Male,Research & Development,Healthcare Representative,7632,Yes,8,Married,No,51.5,MEDIUM RISK
31,Male,Research & Development,Healthcare Representative,9824,No,1,Married,Yes,52.0,MEDIUM RISK
34,Female,Human Resources,Human Resources,9950,Yes,3,Divorced,Yes,55.5,MEDIUM RISK
42,Male,Research & Development,Laboratory Technician,2093,No,2,Married,No,50.0,MEDIUM RISK
36,Male,Sales,Sales Executive,9980,No,10,Single,No,50.5,MEDIUM RISK
22,Male,Research & Development,Laboratory Technician,3894,No,2,Single,Yes,52.0,MEDIUM RISK
48,Female,Sales,Sales Executive,4051,No,9,Married,No,51.5,MEDIUM RISK
55,Female,Sales,Manager,16835,No,10,Single,No,53.5,MEDIUM RISK
41,Male,Sales,Sales Executive,6230,No,14,Single,No,51.5,MEDIUM RISK
35,Male,Sales,Sales Executive,4717,No,11,Married,No,52.5,MEDIUM RISK
40,Female,Research & Development,Manufacturing Director,13237,No,20,Single,No,52.5,MEDIUM RISK
39,Female,Research & Development,Laboratory Technician,3755,No,8,Married,No,50.0,MEDIUM RISK
31,Male,Sales,Sales Executive,6582,Yes,6,Single,No,50.0,MEDIUM RISK
42,Male,Research & Development,Manufacturing Director,7406,Yes,10,Married,No,54.5,MEDIUM RISK
45,Male,Sales,Sales Executive,4805,No,8,Married,No,46.5,MEDIUM RISK
26,Female,Human Resources,Human Resources,2741,Yes,7,Divorced,Yes,51.0,MEDIUM RISK
29,Male,Research & Development,Manufacturing Director,4262,No,3,Divorced,No,48.0,MEDIUM RISK
33,Female,Research & Development,Research Director,16184,No,6,Divorced,No,53.0,MEDIUM RISK
31,Male,Sales,Manager,11557,No,5,Divorced,No,47.5,MEDIUM RISK
18,Male,Sales,Sales Representative,1878,Yes,0,Single,Yes,52.5,MEDIUM RISK
40,Male,Sales,Sales Executive,10932,No,1,Divorced,No,56.5,MEDIUM RISK
41,Female,Research & Development,Healthcare Representative,6811,Yes,8,Single,No,52.0,MEDIUM RISK
26,Male,Sales,Sales Executive,4306,No,0,Divorced,No,50.0,MEDIUM RISK
35,Female,Sales,Sales Executive,4859,No,5,Single,No,49.5,MEDIUM RISK
34,Male,Sales,Sales Executive,5337,No,10,Single,No,50.5,MEDIUM RISK
26,Male,Research & Development,Laboratory Technician,2340,Yes,1,Single,Yes,50.5,MEDIUM RISK
37,Female,Research & Development,Manufacturing Director,7491,No,6,Single,No,53.0,MEDIUM RISK
46,Female,Research & Development,Healthcare Representative,10527,No,2,Married,No,52.0,MEDIUM RISK
41,Female,Sales,Manager,16595,No,18,Married,No,56.0,MEDIUM RISK
37,Male,Sales,Sales Executive,8834,No,9,Divorced,No,48.0,MEDIUM RISK
52,Male,Research & Development,Research Scientist,5577,Yes,10,Divorced,No,52.5,MEDIUM RISK
32,Male,Sales,Sales Executive,4707,No,4,Married,Yes,51.0,MEDIUM RISK
24,Male,Sales,Sales Representative,2400,No,2,Married,No,44.0,MEDIUM RISK
38,Female,Research & Development,Healthcare Representative,9824,No,1,Married,No,50.5,MEDIUM RISK
37,Female,Research & Development,Manufacturing Director,6447,No,6,Married,No,52.0,MEDIUM RISK
49,Male,Research & Development,Research Director,19502,Yes,31,Divorced,No,47.5,MEDIUM RISK
24,Male,Research & Development,Research Scientist,2725,Yes,6,Married,No,47.5,MEDIUM RISK
26,Male,Sales,Sales Executive,6272,No,5,Married,No,47.0,MEDIUM RISK
24,Male,Research & Development,Laboratory Technician,2127,No,1,Married,No,49.5,MEDIUM RISK
50,Male,Human Resources,Manager,18200,No,32,Married,No,49.0,MEDIUM RISK
25,Male,Sales,Sales Representative,2096,No,7,Married,No,49.5,MEDIUM RISK
24,Female,Research & Development,Laboratory Technician,2886,Yes,6,Married,Yes,51.5,MEDIUM RISK
30,Male,Sales,Sales Representative,2033,No,1,Married,Yes,60.0,HIGH RISK
34,Male,Research & Development,Research Scientist,3622,Yes,6,Married,No,49.5,MEDIUM RISK
31,Male,Sales,Sales Executive,4233,No,3,Divorced,Yes,59.0,MEDIUM RISK
35,Male,Research & Development,Laboratory Technician,3681,No,3,Single,No,49.5,MEDIUM RISK
31,Male,Sales,Sales Executive,5460,No,7,Divorced,No,48.0,MEDIUM RISK
27,Female,Research & Development,Research Scientist,2187,No,5,Divorced,No,47.5,MEDIUM RISK
37,Male,Sales,Sales Executive,9602,Yes,3,Married,No,50.0,MEDIUM RISK
20,Female,Research & Development,Research Scientist,2836,No,1,Single,No,54.0,MEDIUM RISK
42,Female,Research & Development,Healthcare Representative,4089,No,10,Married,No,49.0,MEDIUM RISK
43,Male,Research & Development,Research Director,16627,Yes,1,Divorced,No,49.5,MEDIUM RISK
38,Female,Research & Development,Research Scientist,2619,No,0,Single,No,61.5,HIGH RISK
43,Male,Research & Development,Laboratory Technician,5679,Yes,8,Divorced,No,49.0,MEDIUM RISK
48,Female,Research & Development,Manager,15402,No,3,Married,No,57.0,MEDIUM RISK
44,Female,Human Resources,Human Resources,5985,No,2,Single,No,52.5,MEDIUM RISK
34,Female,Sales,Sales Representative,2579,Yes,8,Divorced,No,48.0,MEDIUM RISK
27,Male,Sales,Sales Representative,3041,No,4,Divorced,Yes,53.5,MEDIUM RISK
21,Male,Sales,Sales Representative,3447,No,3,Single,No,50.0,MEDIUM RISK
44,Male,Research & Development,Manager,19513,Yes,2,Married,No,48.0,MEDIUM RISK
22,Male,Research & Development,Research Scientist,2773,No,2,Married,No,47.5,MEDIUM RISK
33,Male,Sales,Sales Executive,7104,No,5,Divorced,No,47.0,MEDIUM RISK
32,Female,Research & Development,Research Scientist,6322,Yes,6,Married,No,51.0,MEDIUM RISK
30,Female,Research & Development,Research Scientist,2083,No,1,Divorced,No,51.0,MEDIUM RISK
53,Female,Sales,Sales Executive,8381,No,14,Single,No,59.0,MEDIUM RISK
34,Male,Research & Development,Research Scientist,2691,No,10,Married,No,49.5,MEDIUM RISK
45,Female,Sales,Sales Executive,4286,No,1,Married,Yes,57.0,MEDIUM RISK
26,Female,Research & Development,Laboratory Technician,2659,Yes,3,Married,No,49.5,MEDIUM RISK
37,Male,Research & Development,Manufacturing Director,9434,No,10,Married,No,49.0,MEDIUM RISK
29,Female,Sales,Sales Executive,5561,No,6,Married,No,50.5,MEDIUM RISK
35,Male,Research & Development,Research Scientist,6646,No,17,Single,No,50.5,MEDIUM RISK
33,Male,Research & Development,Healthcare Representative,7725,No,13,Divorced,No,49.0,MEDIUM RISK
54,Male,Human Resources,Human Resources,10725,No,9,Married,No,50.5,MEDIUM RISK
36,Male,Research & Development,Manufacturing Director,8847,Yes,3,Divorced,No,49.0,MEDIUM RISK
27,Male,Research & Development,Research Scientist,2045,No,4,Single,No,52.5,MEDIUM RISK
20,Male,Research & Development,Research Scientist,1009,Yes,1,Single,Yes,51.5,MEDIUM RISK
33,Male,Research & Development,Research Scientist,3348,Yes,10,Single,Yes,57.0,MEDIUM RISK
35,Male,Research & Development,Laboratory Technician,1281,No,1,Married,No,47.0,MEDIUM RISK
23,Male,Research & Development,Research Scientist,2819,No,3,Married,No,56.0,MEDIUM RISK
25,Male,Sales,Sales Executive,4851,No,3,Married,No,46.0,MEDIUM RISK
38,Female,Sales,Sales Executive,4028,No,7,Single,No,50.5,MEDIUM RISK
29,Male,Research & Development,Research Scientist,2720,No,10,Divorced,No,50.0,MEDIUM RISK
48,Male,Sales,Sales Executive,8120,No,2,Married,No,50.5,MEDIUM RISK
27,Female,Sales,Sales Executive,4647,Yes,6,Divorced,No,48.0,MEDIUM RISK
37,Male,Research & Development,Research Scientist,4680,No,1,Single,No,54.0,MEDIUM RISK
50,Male,Research & Development,Laboratory Technician,3221,Yes,20,Married,No,47.5,MEDIUM RISK
34,Female,Research & Development,Healthcare Representative,8621,No,8,Single,No,51.5,MEDIUM RISK
24,Female,Sales,Sales Executive,4577,No,2,Single,Yes,54.5,MEDIUM RISK
39,Female,Research & Development,Healthcare Representative,4553,No,20,Single,No,52.5,MEDIUM RISK
32,Male,Sales,Sales Executive,5396,No,10,Single,No,49.0,MEDIUM RISK
50,Male,Sales,Sales Executive,6796,Yes,4,Married,Yes,47.5,MEDIUM RISK
38,Female,Research & Development,Healthcare Representative,7625,No,9,Single,No,49.5,MEDIUM RISK
27,Female,Research & Development,Manufacturing Director,7412,No,9,Married,No,56.5,MEDIUM RISK
32,Female,Research & Development,Research Director,11159,No,7,Single,No,52.5,MEDIUM RISK
47,Male,Sales,Sales Executive,4960,No,7,Single,No,58.0,MEDIUM RISK
40,Male,Sales,Sales Executive,10475,Yes,18,Married,No,54.5,MEDIUM RISK
53,Male,Research & Development,Research Director,14814,No,5,Married,No,51.5,MEDIUM RISK
41,Male,Human Resources,Manager,19141,No,21,Divorced,No,48.5,MEDIUM RISK
60,Male,Sales,Sales Executive,5405,No,2,Single,No,57.5,MEDIUM RISK
27,Male,Research & Development,Manufacturing Director,8793,No,9,Divorced,No,53.5,MEDIUM RISK
41,Male,Human Resources,Manager,19189,No,22,Married,No,49.0,MEDIUM RISK
50,Male,Sales,Sales Representative,3875,No,2,Married,No,49.5,MEDIUM RISK
28,Female,Research & Development,Research Scientist,2216,Yes,7,Single,Yes,54.0,MEDIUM RISK
36,Female,Research & Development,Research Director,11713,No,8,Married,No,57.5,MEDIUM RISK
38,Female,Research & Development,Manufacturing Director,7861,Yes,1,Single,No,52.5,MEDIUM RISK
44,Male,Research & Development,Laboratory Technician,3708,No,5,Single,No,52.5,MEDIUM RISK
47,Female,Sales,Sales Executive,13770,Yes,22,Divorced,No,51.0,MEDIUM RISK
30,Male,Sales,Sales Executive,5304,No,8,Divorced,No,49.0,MEDIUM RISK
29,Male,Sales,Sales Representative,2642,No,1,Single,No,50.5,MEDIUM RISK
42,Male,Research & Development,Research Scientist,2759,Yes,2,Divorced,Yes,52.5,MEDIUM RISK
43,Male,Sales,Sales Executive,6804,No,2,Married,No,48.0,MEDIUM RISK
34,Female,Research & Development,Healthcare Representative,6142,No,5,Single,No,53.5,MEDIUM RISK
23,Male,Research & Development,Laboratory Technician,2500,No,4,Married,No,56.0,MEDIUM RISK
39,Female,Human Resources,Human Resources,6389,No,8,Married,No,50.5,MEDIUM RISK
56,Male,Research & Development,Healthcare Representative,11103,No,10,Married,No,52.5,MEDIUM RISK
40,Female,Research & Development,Research Scientist,2342,Yes,4,Single,No,48.5,MEDIUM RISK
27,Female,Research & Development,Healthcare Representative,6811,No,7,Single,No,59.0,MEDIUM RISK
29,Male,Sales,Sales Representative,2297,No,2,Divorced,No,47.0,MEDIUM RISK
53,Male,Research & Development,Laboratory Technician,2450,No,2,Single,No,51.5,MEDIUM RISK
35,Female,Research & Development,Healthcare Representative,5093,No,1,Divorced,No,60.5,HIGH RISK
32,Male,Research & Development,Laboratory Technician,5309,No,10,Married,No,48.5,MEDIUM RISK
38,Male,Research & Development,Research Scientist,3057,Yes,1,Married,No,55.0,MEDIUM RISK
34,Female,Research & Development,Manufacturing Director,5121,No,0,Divorced,No,59.0,MEDIUM RISK
52,Male,Sales,Manager,16856,No,34,Married,No,57.0,MEDIUM RISK
33,Male,Research & Development,Research Scientist,2686,Yes,10,Single,Yes,52.0,MEDIUM RISK
25,Female,Sales,Sales Executive,6180,No,6,Single,No,51.0,MEDIUM RISK
45,Male,Sales,Sales Representative,6632,No,8,Single,No,51.5,MEDIUM RISK
23,Male,Research & Development,Research Scientist,3505,No,2,Single,No,48.0,MEDIUM RISK
47,Female,Sales,Sales Executive,6397,Yes,5,Single,Yes,52.5,MEDIUM RISK
34,Male,Sales,Sales Executive,6274,No,6,Single,No,50.0,MEDIUM RISK
55,Male,Research & Development,Manager,19859,Yes,5,Married,Yes,53.5,MEDIUM RISK
36,Male,Sales,Sales Executive,7587,No,10,Single,No,55.5,MEDIUM RISK
52,Male,Research & Development,Research Scientist,4258,No,4,Married,No,47.0,MEDIUM RISK
26,Female,Research & Development,Laboratory Technician,4364,No,2,Divorced,No,55.0,MEDIUM RISK
29,Female,Research & Development,Healthcare Representative,4335,No,8,Married,No,51.0,MEDIUM RISK
26,Male,Sales,Sales Executive,5326,No,4,Single,Yes,56.5,MEDIUM RISK
34,Female,Research & Development,Research Scientist,3280,No,4,Single,No,53.5,MEDIUM RISK
54,Female,Research & Development,Manufacturing Director,5485,Yes,5,Divorced,No,54.5,MEDIUM RISK
27,Male,Sales,Sales Executive,4342,No,4,Married,No,46.5,MEDIUM RISK
37,Female,Research & Development,Research Scientist,2782,Yes,5,Divorced,No,54.5,MEDIUM RISK
38,Female,Research & Development,Manufacturing Director,5980,Yes,15,Single,No,57.5,MEDIUM RISK
34,Female,Research & Development,Research Scientist,4381,No,6,Single,No,56.5,MEDIUM RISK
35,Female,Sales,Sales Representative,2572,No,3,Married,No,51.0,MEDIUM RISK
30,Male,Research & Development,Laboratory Technician,3833,No,2,Married,No,49.5,MEDIUM RISK
40,Female,Research & Development,Healthcare Representative,4244,No,8,Married,No,50.5,MEDIUM RISK
34,Female,Sales,Sales Executive,6500,No,3,Married,No,57.0,MEDIUM RISK
42,Male,Research & Development,Manager,18430,No,24,Divorced,No,48.5,MEDIUM RISK
23,Male,Research & Development,Laboratory Technician,1601,Yes,0,Married,Yes,58.5,MEDIUM RISK
24,Male,Research & Development,Laboratory Technician,2694,No,1,Divorced,No,47.0,MEDIUM RISK
52,Female,Research & Development,Laboratory Technician,3149,No,5,Married,No,50.0,MEDIUM RISK
50,Male,Research & Development,Research Director,17639,No,4,Married,No,48.0,MEDIUM RISK
29,Female,Research & Development,Laboratory Technician,2319,Yes,1,Married,Yes,63.5,HIGH RISK
33,Male,Research & Development,Research Director,11691,No,13,Married,No,49.0,MEDIUM RISK
33,Female,Sales,Sales Executive,5324,No,3,Single,Yes,56.0,MEDIUM RISK
47,Female,Research & Development,Manager,16752,Yes,26,Married,No,51.5,MEDIUM RISK
36,Female,Research & Development,Manufacturing Director,5228,No,9,Married,No,48.5,MEDIUM RISK
29,Male,Research & Development,Research Scientist,2700,No,10,Married,No,48.0,MEDIUM RISK
58,Male,Research & Development,Research Director,19246,Yes,31,Single,Yes,52.0,MEDIUM RISK
35,Female,Research & Development,Research Scientist,2506,No,2,Single,No,56.0,MEDIUM RISK
42,Female,Research & Development,Manufacturing Director,6062,Yes,4,Married,No,50.0,MEDIUM RISK
28,Male,Research & Development,Research Scientist,4382,No,2,Single,Yes,52.5,MEDIUM RISK
36,Male,Human Resources,Human Resources,2143,No,5,Married,No,48.5,MEDIUM RISK
32,Female,Research & Development,Manufacturing Director,6162,No,14,Married,No,50.5,MEDIUM RISK
40,Male,Research & Development,Laboratory Technician,5094,No,1,Single,No,49.5,MEDIUM RISK
30,Female,Research & Development,Manufacturing Director,6877,Yes,0,Single,No,51.0,MEDIUM RISK
45,Female,Research & Development,Research Scientist,2274,No,1,Single,No,51.0,MEDIUM RISK
42,Male,Research & Development,Manufacturing Director,4434,No,9,Married,No,48.5,MEDIUM RISK
38,Male,Research & Development,Healthcare Representative,6288,No,4,Divorced,No,52.5,MEDIUM RISK
34,Female,Research & Development,Research Scientist,2553,No,5,Single,No,51.0,MEDIUM RISK
49,Female,Sales,Sales Executive,7654,No,9,Married,Yes,50.5,MEDIUM RISK
55,Male,Sales,Sales Executive,5160,No,9,Single,Yes,51.0,MEDIUM RISK
43,Male,Research & Development,Research Director,17159,No,4,Married,No,54.5,MEDIUM RISK
27,Male,Research & Development,Research Director,12808,Yes,9,Divorced,No,47.5,MEDIUM RISK
35,Male,Research & Development,Manufacturing Director,10221,No,8,Single,No,51.5,MEDIUM RISK
28,Female,Sales,Sales Executive,4779,Yes,8,Married,No,52.5,MEDIUM RISK
34,Male,Human Resources,Human Resources,3737,No,3,Married,No,48.0,MEDIUM RISK
26,Female,Research & Development,Research Scientist,2366,Yes,8,Married,Yes,50.5,MEDIUM RISK
27,Male,Research & Development,Research Scientist,1706,No,0,Married,No,48.5,MEDIUM RISK
